date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:10:46	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-8654%22	http://baha.malyarchuk.space/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400d41d.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:46	144523/144523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c5473b4-2348b%22	http://baha.malyarchuk.space/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400.svg	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:48	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225c5473b4-852c%22	http://baha.malyarchuk.space/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400.ttf	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:50	125016/125016	---M--	200	added ('OK')	application/octet-stream	etag:%225c5473b4-1e858%22	http://baha.malyarchuk.space/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400.ttf	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:58	74320/74320	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-12250%22	http://baha.malyarchuk.space/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:11:06	96248/96248	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-177f8%22	http://baha.malyarchuk.space/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:11:22	816218/816218	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c5473b4-c745a%22	http://baha.malyarchuk.space/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900.svg	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:11:22	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-2d890%22	http://baha.malyarchuk.space/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:11:23	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Mon,%2014%20Oct%202019%2011:11:30%20GMT	http://baha.malyarchuk.space/css/plugins/owl.video.play.png	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/owl.video.play.48.delayed	(from http://baha.malyarchuk.space/css/plugins/owl.carousel.min.css)
04:11:23	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-2d890%22	http://baha.malyarchuk.space/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900d41d.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
